haedat_row_id,copernicus_date,date_difference_hours,area_buffer_degrees,surface_depth_m,thetao_valid_cells,thetao_mean,thetao_p95,thetao_variance,so_valid_cells,so_mean,so_p95,so_variance
30,2025-03-20,0.0,1.0,0.49402499198913574,625,30.20851030973196,30.421283599734306,0.02805648383572779,625,34.609151858389374,34.77706225588918,0.03823012788647362
31,2025-03-01,0.0,1.0,0.49402499198913574,576,28.14890234428458,28.351908925920725,0.022933044965342375,576,35.731749050319195,35.81804861314595,0.0033425211274678342
32,2025-02-25,0.0,1.0,0.49402499198913574,575,28.542229144521382,28.78405101969838,0.03220056019417664,575,35.4335233554568,35.59068571776152,0.012472219169925877
33,2025-01-19,0.0,1.0,0.49402499198913574,576,27.67996128613595,28.365642255172133,0.14764138789042322,576,36.01565066346666,36.16939295316115,0.013478103114346867
34,2025-01-29,0.0,1.0,0.49402499198913574,559,28.28150976735812,28.481991020590065,0.03491320899367462,559,35.84861352819823,35.95553449820727,0.004243509933559388
35,2025-05-04,0.0,1.0,0.49402499198913574,576,26.752572450670414,26.963011560961604,0.0408379427214798,576,36.129408937267726,36.22737812111154,0.005449425525224035
36,2025-05-02,0.0,1.0,0.49402499198913574,576,25.066984309698455,25.43348490446806,0.11754933287838555,576,35.93139891381725,36.02862632833421,0.0031491816809382286
37,2025-05-01,0.0,1.0,0.49402499198913574,559,28.735995996017042,28.817450476437806,0.00304637343430443,559,36.31100443296788,36.402478069067,0.0038564872413957988
38,2025-04-29,0.0,1.0,0.49402499198913574,575,28.858434870826162,28.941380039602517,0.0023417629095844406,575,35.2763981461201,35.53575240075588,0.022934381181426516
39,2025-04-26,0.0,1.0,0.49402499198913574,575,28.92803872723942,29.023194059729576,0.0027822529268955597,575,35.30528457875809,35.51026944536716,0.014486875138357178
40,2025-04-25,0.0,1.0,0.49402499198913574,576,25.29706335242372,25.653401283547282,0.08590263215972,576,35.925035592663335,35.999633744359016,0.0017076326837334442
41,2025-04-20,0.0,1.0,0.49402499198913574,576,27.02822580083739,27.38673054613173,0.0658184168978572,576,36.12821680799243,36.26705218339339,0.0129208292428637
42,2025-04-14,0.0,1.0,0.49402499198913574,559,28.72414848135121,28.850337222218513,0.008386500013794347,559,36.297276563199375,36.37653733603656,0.002898773353400875
43,2025-04-11,0.0,1.0,0.49402499198913574,571,29.227367698206795,29.37256995588541,0.014745640035049324,571,35.78467600841904,35.89739673770964,0.005024190115290523
44,2025-04-05,0.0,1.0,0.49402499198913574,576,27.359914949163795,27.708822894841433,0.059879627991986824,576,36.01252993394155,36.19647813029587,0.017330960430627623
45,2025-04-05,0.0,1.0,0.49402499198913574,576,27.359914949163795,27.708822894841433,0.059879627991986824,576,36.01252993394155,36.19647813029587,0.017330960430627623
46,2025-04-02,0.0,1.0,0.49402499198913574,576,27.417808561585844,27.725669112056494,0.04994846740285179,576,35.98368040547939,36.163289251271635,0.01732292480714179
47,2025-03-31,0.0,1.0,0.49402499198913574,559,28.990165935179522,29.143900868296623,0.011878921844749283,559,36.24490374367691,36.33854179177433,0.0039665217461993555
48,2025-03-28,0.0,1.0,0.49402499198913574,575,29.102898003575593,29.20872218236327,0.007613696372540778,575,35.485622431758955,35.5789360916242,0.0029724546318333246
49,2025-03-26,0.0,1.0,0.49402499198913574,559,29.09095628804832,29.197515785694122,0.004665748507222397,559,36.19613145313131,36.32923364639282,0.007381332459570626
50,2025-03-01,0.0,1.0,0.49402499198913574,575,28.55601947704087,28.858613841980695,0.02786349824753141,575,35.431506480049826,35.55909906048328,0.005923874357039189
51,2025-02-21,0.0,1.0,0.49402499198913574,559,29.015057246405664,29.11409038826823,0.00582159176612466,559,35.95213078358919,36.05151521041989,0.003273154968065386
52,2025-02-18,0.0,1.0,0.49402499198913574,559,28.97534278395031,29.08479261919856,0.004819299378119419,559,35.92452763801371,36.01397744379938,0.0033326802293719184
53,2025-02-15,0.0,1.0,0.49402499198913574,559,29.210604131634952,29.33104036822915,0.004621220012612756,559,35.871442355971936,35.99063078407198,0.0044970503733359965
54,2025-02-02,0.0,1.0,0.49402499198913574,571,28.97073771260457,29.18909267708659,0.017914107186767888,571,35.757321589618215,35.89053007308394,0.006100846881012341
55,2025-05-19,0.0,1.0,0.49402499198913574,571,28.72449022012187,28.93456830829382,0.02694223933735089,571,35.593056113372725,35.81499676220119,0.011123137849676293
56,2025-05-01,0.0,1.0,0.49402499198913574,559,28.735995996017042,28.817450476437806,0.00304637343430443,559,36.31100443296788,36.402478069067,0.0038564872413957988
57,2025-03-30,0.0,1.0,0.49402499198913574,576,27.321242911275476,27.66066468693316,0.06569705217190419,576,35.961853843036806,36.144596664234996,0.015837732916771072
58,2025-02-22,0.0,1.0,0.49402499198913574,571,29.147373500539416,29.32312997058034,0.01187789009847909,571,35.68808038298191,35.77608566265553,0.0030032249248218117
59,2025-02-25,0.0,1.0,0.49402499198913574,559,29.013125899732646,29.112698744237424,0.00476870584941832,559,35.99184306225138,36.136051481589675,0.005126922020299563
60,2025-02-26,0.0,1.0,0.49402499198913574,559,29.01229256426179,29.098709059506653,0.004517462548524998,559,36.00095220948095,36.1828973935917,0.005680038493258071
61,2025-01-07,0.0,1.0,0.49402499198913574,559,28.53597058776986,28.761052270978688,0.029535263627543183,559,36.03710217554662,36.131015927530825,0.0019733834110705136
62,2025-03-21,0.0,1.0,0.49402499198913574,559,29.424420193704062,29.673751021921635,0.01505647050830707,559,36.20748444783546,36.3597521558404,0.010444960604983913
63,2025-03-15,0.0,1.0,0.49402499198913574,575,28.755876119473704,28.91742911338806,0.013362775159029854,575,35.45485181288551,35.48234500922263,0.00046027080666163385
64,2025-03-17,0.0,1.0,0.49402499198913574,575,28.789121444471505,28.943284394592048,0.01307931687562827,575,35.4606025615788,35.48844871111214,0.0004307728478776956
65,2025-03-13,0.0,1.0,0.49402499198913574,575,28.79942661628775,28.959691145271062,0.01317168137965371,575,35.4495654762925,35.488906488753855,0.0006017827011191712
66,2025-03-11,0.0,1.0,0.49402499198913574,559,29.012386904126416,29.102371280640362,0.004196508717080457,559,36.105100035147615,36.254463298246264,0.010766843726807682
67,2025-05-29,0.0,1.0,0.49402499198913574,576,26.03075248003006,26.46073793247342,0.053785870756671836,576,36.22837686052662,36.34640030795708,0.0029967284324683183
68,2025-01-11,0.0,1.0,0.49402499198913574,575,28.262296603956948,28.594640942662956,0.039995506438565906,575,35.40913243194961,35.569322761148214,0.006558967228611452
69,2025-05-28,0.0,1.0,0.49402499198913574,576,26.136182485730387,26.58873256109655,0.055255658676863995,576,36.220723390579224,36.338389199227095,0.003140450062049234
70,2025-03-22,0.0,1.0,0.49402499198913574,575,29.155841619916583,29.268050164729356,0.00448052992302873,575,35.46538467932007,35.51133759319782,0.0007841341006353011
72,2025-01-01,0.0,1.0,0.49402499198913574,458,10.768606538384113,11.3382915828377,0.2228740963676397,458,34.5142619070235,34.87357704201713,0.05484154102954997
73,2025-06-02,0.0,1.0,0.49402499198913574,449,11.476910241562168,11.94025087058544,0.1337046848551756,449,32.203865244586375,34.78988002985716,3.296653910219768
74,2025-03-17,0.0,1.0,0.49402499198913574,313,4.937259419657551,6.699612428247928,0.9693669671766639,313,32.121803729048075,34.90829184651375,4.311076462060221
75,2025-07-07,0.0,1.0,0.49402499198913574,447,12.882037161080628,14.667360460013152,0.8917446955517918,447,33.48997108819551,34.16013058740646,0.2572511257119567
76,2025-06-02,0.0,1.0,0.49402499198913574,544,9.532928584800924,10.455769534036518,0.24826899998362228,544,33.76903925484786,34.61668748874217,0.22739054000914882
77,2025-03-24,0.0,1.0,0.49402499198913574,213,4.380307495908838,6.6438001781702045,2.697816514375574,213,33.740339893191845,34.55671861767769,0.48004391559460075
78,2025-03-24,0.0,1.0,0.49402499198913574,326,5.0586142760524355,5.920255148783326,0.28079705179598535,326,28.499649197828777,33.58180483337492,14.671438434374924
79,2025-03-17,0.0,1.0,0.49402499198913574,407,4.7347280318672595,5.167192617058754,0.05904938757875602,407,32.17187031751146,32.52769551705569,0.05214197052288427
80,2025-03-17,0.0,1.0,0.49402499198913574,462,6.8914960106568675,8.592211687937379,1.0649777964963116,462,34.35315355392439,35.20294805523008,0.29840493421446773
81,2025-08-18,0.0,1.0,0.49402499198913574,558,12.747512831202437,14.020758696645498,0.6445219142081807,558,34.2514399987375,34.87807852216065,0.5453221531308658
82,2025-03-24,0.0,1.0,0.49402499198913574,265,6.239499256830171,7.235468624532222,0.4248603621799706,265,34.00541038182125,34.554887507110834,0.12324326188938986
83,2025-06-02,0.0,1.0,0.49402499198913574,291,12.319033269799247,12.60289316251874,0.05055826122091615,291,27.858076739537807,29.003265453502536,1.3505634072550095
84,2025-07-07,0.0,1.0,0.49402499198913574,558,10.220790268793222,11.792590114474296,0.6619376899945197,558,34.32407186351596,34.9818414542824,0.6624625097021328
85,2025-04-28,0.0,1.0,0.49402499198913574,544,7.8377995200126485,9.256392112746834,0.5237593214359064,544,33.580121827339205,35.13069548411295,0.5741042608477661
86,2025-06-02,0.0,1.0,0.49402499198913574,326,12.463108653282644,13.230597864836454,0.17536639971873988,326,27.583321590159386,30.34302801825106,4.61328537328221
87,2025-08-11,0.0,1.0,0.49402499198913574,449,15.97031365135863,16.971996219456194,0.25838176561565424,449,32.38642234614488,34.554887507110834,1.9633098999363179
88,2025-03-24,0.0,1.0,0.49402499198913574,344,6.66599196072148,7.92114628739655,0.7771571650570502,344,34.375170747435455,35.0853754975833,0.32176202358510325
89,2025-06-09,0.0,1.0,0.49402499198913574,313,12.724100981657497,13.546061593294143,0.24780425798471745,313,29.359352106627185,33.49986263550818,3.2370749912689223
